project_id,client_id,client_name,sector,service_line,start_date,planned_end_date,actual_end_date,status,complexity,team_size,senior_staff_count,junior_staff_count,contract_value_usd,actual_cost_usd,delay_days,cost_overrun_pct,client_satisfaction_score,renewed_within_12m,acquisition_channel
P0633,C-E-Client-03,E-Client-03,Energy,Stakeholder Engagement,2021-02-06,2021-09-06,2021-12-19,Completed,High,15,6,9,880600.0,1115700.0,104.0,0.267,2.2,No,Competitive Tender
P0634,C-E-Client-03,E-Client-03,Energy,Market & Social Research,2021-02-06,2021-07-06,2021-07-10,Completed,Medium,6,3,3,217200.0,220900.0,4.0,0.017,4.7,No,Repeat Client
P0868,C-FAI-Client-08,FAI-Client-08,Finance and Insurance,Market & Social Research,2021-02-07,2021-04-07,2021-05-23,Completed,Low,3,1,2,38200.0,56700.0,46.0,0.483,2.4,No,Referral
P1404,C-TAI-Client-06,TAI-Client-06,Technology and Innovation,Political Risk Management,2021-02-07,2021-05-07,,Cancelled,Low,3,1,2,42600.0,49400.0,,,,N/A,Referral
P0006,C-A-Client-06,A-Client-06,Agriculture,Strategic Planning,2021-02-09,2021-03-09,2021-03-09,Completed,Low,2,1,1,5700.0,5700.0,0.0,0.0,4.0,No,Direct Outreach
P0005,C-A-Client-07,A-Client-07,Agriculture,Data Visualization & Analytics,2021-02-09,2021-06-09,2021-08-05,Completed,High,9,2,7,160700.0,201500.0,57.0,0.254,2.5,No,Referral
P1068,C-PS-Client-04,PS-Client-04,Public Sector,Political Risk Management,2021-02-09,2021-11-09,2021-11-13,Completed,High,13,5,8,612400.0,618500.0,4.0,0.01,4.1,No,Repeat Client
P1402,C-TAI-Client-07,TAI-Client-07,Technology and Innovation,Political Risk Management,2021-02-11,2021-11-11,2021-11-12,Completed,High,13,4,9,865500.0,869000.0,1.0,0.004,4.2,Yes,Referral
P1403,C-TAI-Client-08,TAI-Client-08,Technology and Innovation,Market & Social Research,2021-02-14,2021-05-14,2021-06-23,Completed,Medium,5,2,3,94800.0,125600.0,40.0,0.325,3.3,No,Competitive Tender
P1407,C-TAI-Client-03,TAI-Client-03,Technology and Innovation,Strategic Planning,2021-02-16,2021-05-16,2021-05-17,Completed,Low,3,1,2,34100.0,34300.0,1.0,0.007,4.3,No,Referral
P1069,C-PS-Client-03,PS-Client-03,Public Sector,Data Visualization & Analytics,2021-02-18,2021-10-18,2021-11-16,Completed,High,14,4,10,670700.0,749800.0,29.0,0.118,3.6,No,Competitive Tender
P1070,C-PS-Client-05,PS-Client-05,Public Sector,Data Visualization & Analytics,2021-02-18,2021-05-18,2021-05-18,Completed,Low,3,1,2,28300.0,28300.0,0.0,0.0,4.2,No,Referral
P1071,C-PS-Client-03,PS-Client-03,Public Sector,Digital Transformation,2021-02-19,2021-08-19,2021-08-19,Completed,High,13,5,8,445600.0,445600.0,0.0,0.0,4.0,No,Referral
P0632,C-E-Client-07,E-Client-07,Energy,Political Risk Management,2021-02-20,2021-05-20,2021-05-20,Completed,Medium,8,2,6,144900.0,144900.0,0.0,0.0,3.7,No,Repeat Client
P0010,C-A-Client-04,A-Client-04,Agriculture,Digital Transformation,2021-02-20,2021-06-20,2021-06-20,Completed,Medium,8,3,5,117900.0,117900.0,0.0,0.0,4.3,No,Repeat Client
P0008,C-A-Client-08,A-Client-08,Agriculture,Stakeholder Engagement,2021-02-20,2021-06-20,2021-08-26,Completed,Medium,4,2,2,73500.0,103300.0,67.0,0.406,2.4,No,Repeat Client
P1067,C-PS-Client-06,PS-Client-06,Public Sector,Stakeholder Engagement,2021-02-28,2021-07-28,2021-09-07,Completed,Medium,8,3,5,183200.0,214200.0,41.0,0.169,3.5,No,Repeat Client
P0636,C-E-Client-04,E-Client-04,Energy,Political Risk Management,2021-03-01,2021-10-01,2021-10-02,Completed,High,9,4,5,481500.0,482900.0,1.0,0.003,4.1,No,Referral
P1412,C-TAI-Client-04,TAI-Client-04,Technology and Innovation,Digital Transformation,2021-03-01,2021-11-01,2021-11-02,Completed,High,14,4,10,822300.0,826400.0,1.0,0.005,4.6,Yes,Direct Outreach
P1221,C-CEAT-Client-01,CEAT-Client-01,Creative Economy and Tourism,Stakeholder Engagement,2021-03-02,2021-05-02,2021-05-05,Completed,Low,4,2,2,25300.0,26400.0,3.0,0.043,4.7,No,Repeat Client
P1072,C-PS-Client-08,PS-Client-08,Public Sector,Digital Transformation,2021-03-04,2021-12-04,2021-12-08,Completed,High,10,4,6,516300.0,521500.0,4.0,0.01,3.7,No,Competitive Tender
P0242,C-CACM-Client-06,CACM-Client-06,Climate and Carbon Markets,Digital Transformation,2021-03-05,2021-05-05,2021-05-06,Completed,Medium,6,2,4,78400.0,79200.0,1.0,0.01,4.2,Yes,Repeat Client
P1222,C-CEAT-Client-05,CEAT-Client-05,Creative Economy and Tourism,Market & Social Research,2021-03-05,2021-05-05,2021-05-09,Completed,Low,2,1,1,10700.0,11300.0,4.0,0.055,4.2,Yes,Referral
P1073,C-PS-Client-09,PS-Client-09,Public Sector,Political Risk Management,2021-03-06,2021-05-06,2021-05-06,Completed,Medium,5,2,3,41500.0,41500.0,0.0,0.0,4.1,No,Repeat Client
P1223,C-CEAT-Client-05,CEAT-Client-05,Creative Economy and Tourism,Stakeholder Engagement,2021-03-07,2021-07-07,2021-07-10,Completed,Medium,4,1,3,54300.0,55400.0,3.0,0.021,3.7,No,Repeat Client
P0875,C-FAI-Client-06,FAI-Client-06,Finance and Insurance,Stakeholder Engagement,2021-03-07,2021-07-07,2021-07-11,Completed,Medium,4,1,3,100300.0,104000.0,4.0,0.037,4.8,No,Competitive Tender
P1077,C-PS-Client-01,PS-Client-01,Public Sector,Digital Transformation,2021-03-08,2021-09-08,2021-09-25,Completed,High,8,3,5,291900.0,313800.0,17.0,0.075,3.8,Yes,Repeat Client
P0240,C-CACM-Client-01,CACM-Client-01,Climate and Carbon Markets,Data Visualization & Analytics,2021-03-09,2021-06-09,2021-06-12,Completed,Medium,4,1,3,79500.0,81600.0,3.0,0.026,3.8,No,Referral
P0869,C-FAI-Client-02,FAI-Client-02,Finance and Insurance,Political Risk Management,2021-03-11,2021-12-11,2021-12-13,Completed,High,9,2,7,618600.0,623500.0,2.0,0.008,4.7,Yes,Repeat Client
P0870,C-FAI-Client-01,FAI-Client-01,Finance and Insurance,Strategic Planning,2021-03-11,2021-06-11,2021-06-14,Completed,Medium,6,1,5,115600.0,118800.0,3.0,0.028,4.7,No,Referral
P0635,C-E-Client-01,E-Client-01,Energy,Data Visualization & Analytics,2021-03-11,2021-08-11,2021-10-26,Completed,Medium,8,2,6,234600.0,305400.0,76.0,0.302,2.6,No,Direct Outreach
P1411,C-TAI-Client-07,TAI-Client-07,Technology and Innovation,Stakeholder Engagement,2021-03-12,2021-04-12,2021-04-13,Completed,Low,2,1,1,10200.0,10500.0,1.0,0.03,4.2,Yes,Referral
P1075,C-PS-Client-03,PS-Client-03,Public Sector,Political Risk Management,2021-03-13,2021-05-13,2021-07-24,Completed,Medium,4,2,2,38100.0,60400.0,72.0,0.586,1.8,No,Repeat Client
P0243,C-CACM-Client-03,CACM-Client-03,Climate and Carbon Markets,Stakeholder Engagement,2021-03-14,2021-06-14,2021-07-31,Completed,Medium,5,2,3,88900.0,127700.0,47.0,0.437,2.2,No,Competitive Tender
P0013,C-A-Client-03,A-Client-03,Agriculture,Data Visualization & Analytics,2021-03-15,2021-06-15,2021-06-16,Completed,Low,3,1,2,34600.0,34900.0,1.0,0.009,4.3,Yes,Referral
P0871,C-FAI-Client-03,FAI-Client-03,Finance and Insurance,Stakeholder Engagement,2021-03-15,2021-05-15,2021-07-05,Completed,Low,2,1,1,23000.0,34900.0,51.0,0.519,2.0,No,Repeat Client
P0874,C-FAI-Client-01,FAI-Client-01,Finance and Insurance,Stakeholder Engagement,2021-03-16,2021-05-16,2021-05-20,Completed,Low,2,1,1,19900.0,20800.0,4.0,0.045,4.2,No,Repeat Client
P1224,C-CEAT-Client-03,CEAT-Client-03,Creative Economy and Tourism,Strategic Planning,2021-03-17,2021-06-17,2021-06-19,Completed,Low,4,1,3,39500.0,40600.0,2.0,0.027,3.5,No,Competitive Tender
P1410,C-TAI-Client-08,TAI-Client-08,Technology and Innovation,Political Risk Management,2021-03-17,2021-08-17,2021-08-21,Completed,Medium,8,3,5,215600.0,221900.0,4.0,0.029,4.3,Yes,Repeat Client
P0637,C-E-Client-08,E-Client-08,Energy,Political Risk Management,2021-03-18,2021-06-18,2021-07-21,Completed,Low,4,1,3,71300.0,94300.0,33.0,0.323,2.5,No,Referral
P0873,C-FAI-Client-07,FAI-Client-07,Finance and Insurance,Political Risk Management,2021-03-20,2021-10-20,2021-10-24,Completed,High,13,6,7,641600.0,654400.0,4.0,0.02,4.0,Yes,Direct Outreach
P1409,C-TAI-Client-03,TAI-Client-03,Technology and Innovation,Political Risk Management,2021-03-20,2021-05-20,2021-05-22,Completed,Low,4,1,3,39600.0,40400.0,2.0,0.019,4.0,Yes,Repeat Client
P1076,C-PS-Client-02,PS-Client-02,Public Sector,Data Visualization & Analytics,2021-03-20,2021-05-20,2021-05-20,Completed,Low,2,1,1,16600.0,16600.0,0.0,0.0,4.7,No,Direct Outreach
P0872,C-FAI-Client-02,FAI-Client-02,Finance and Insurance,Market & Social Research,2021-03-25,2021-08-25,2021-08-26,Completed,High,14,6,8,633900.0,637100.0,1.0,0.005,5.0,Yes,Repeat Client
P1074,C-PS-Client-01,PS-Client-01,Public Sector,Market & Social Research,2021-03-26,2021-05-26,2021-05-30,Completed,Low,4,1,3,32400.0,34600.0,4.0,0.067,4.0,No,Referral
P0241,C-CACM-Client-06,CACM-Client-06,Climate and Carbon Markets,Digital Transformation,2021-03-26,2021-08-26,2021-08-26,Completed,Medium,4,1,3,123100.0,123100.0,0.0,0.0,4.1,Yes,Referral
P0012,C-A-Client-07,A-Client-07,Agriculture,Data Visualization & Analytics,2021-03-28,2021-06-28,2021-09-21,Completed,Medium,4,1,3,44100.0,61800.0,85.0,0.401,2.2,No,Repeat Client
P1225,C-CEAT-Client-03,CEAT-Client-03,Creative Economy and Tourism,Market & Social Research,2021-04-02,2021-06-02,2021-06-03,Completed,Low,3,1,2,20100.0,20400.0,1.0,0.016,4.3,No,Referral
P1414,C-TAI-Client-02,TAI-Client-02,Technology and Innovation,Stakeholder Engagement,2021-04-02,2021-09-02,2021-09-03,Completed,Medium,6,1,5,156800.0,157900.0,1.0,0.007,4.4,No,Competitive Tender
P0876,C-FAI-Client-04,FAI-Client-04,Finance and Insurance,Market & Social Research,2021-04-07,2021-08-07,,Cancelled,High,7,2,5,212400.0,295200.0,,,,N/A,Competitive Tender
P1226,C-CEAT-Client-04,CEAT-Client-04,Creative Economy and Tourism,Market & Social Research,2021-04-09,2021-06-09,2021-06-09,Completed,Low,4,1,3,22000.0,22000.0,0.0,0.0,4.2,No,Referral
P1227,C-CEAT-Client-07,CEAT-Client-07,Creative Economy and Tourism,Stakeholder Engagement,2021-04-09,2021-10-09,2021-10-09,Completed,High,8,2,6,204800.0,204800.0,0.0,0.0,4.7,Yes,Repeat Client
P0245,C-CACM-Client-06,CACM-Client-06,Climate and Carbon Markets,Strategic Planning,2021-04-09,2021-06-09,,Cancelled,Low,3,1,2,23900.0,25700.0,,,,N/A,Repeat Client
P0014,C-A-Client-02,A-Client-02,Agriculture,Stakeholder Engagement,2021-04-12,2021-07-12,2021-07-13,Completed,Medium,6,3,3,66600.0,67400.0,1.0,0.012,5.0,Yes,Referral
P0244,C-CACM-Client-05,CACM-Client-05,Climate and Carbon Markets,Market & Social Research,2021-04-12,2021-07-12,2021-07-12,Completed,Low,4,2,2,63600.0,63600.0,0.0,0.0,4.7,Yes,Referral
P1078,C-PS-Client-09,PS-Client-09,Public Sector,Data Visualization & Analytics,2021-04-13,2021-09-13,2021-11-06,Completed,Medium,8,2,6,151900.0,183800.0,54.0,0.21,2.4,No,Direct Outreach
P0016,C-A-Client-04,A-Client-04,Agriculture,Digital Transformation,2021-04-15,2021-06-15,2021-06-16,Completed,Low,3,1,2,19200.0,19400.0,1.0,0.011,4.3,No,Direct Outreach
P0246,C-CACM-Client-04,CACM-Client-04,Climate and Carbon Markets,Digital Transformation,2021-04-15,2021-08-15,2021-10-01,Completed,High,9,4,5,283800.0,335500.0,47.0,0.182,3.3,No,Repeat Client
P1415,C-TAI-Client-05,TAI-Client-05,Technology and Innovation,Political Risk Management,2021-04-16,2021-06-16,2021-06-20,Completed,Medium,5,1,4,60900.0,64800.0,4.0,0.064,4.2,Yes,Repeat Client
P1413,C-TAI-Client-06,TAI-Client-06,Technology and Innovation,Strategic Planning,2021-04-17,2021-08-17,2021-08-19,Completed,Medium,7,2,5,142100.0,144900.0,2.0,0.02,4.8,No,Repeat Client
P0015,C-A-Client-04,A-Client-04,Agriculture,Market & Social Research,2021-04-21,2021-07-21,2021-07-21,Completed,Medium,8,3,5,83800.0,83800.0,0.0,0.0,3.8,No,Competitive Tender
P0638,C-E-Client-08,E-Client-08,Energy,Political Risk Management,2021-04-22,2021-06-22,2021-06-23,Completed,Low,3,1,2,34600.0,35000.0,1.0,0.013,4.0,Yes,Referral
P1079,C-PS-Client-03,PS-Client-03,Public Sector,Digital Transformation,2021-04-23,2021-12-23,2022-02-17,Completed,High,7,3,4,332800.0,397700.0,56.0,0.195,3.1,No,Competitive Tender
P1083,C-PS-Client-01,PS-Client-01,Public Sector,Market & Social Research,2021-05-02,2021-07-02,2021-08-22,Completed,Low,2,1,1,13400.0,19100.0,51.0,0.425,2.1,No,Repeat Client
P0640,C-E-Client-09,E-Client-09,Energy,Data Visualization & Analytics,2021-05-02,2021-07-02,2021-07-05,Completed,Low,2,1,1,20500.0,21700.0,3.0,0.058,4.7,No,Competitive Tender
P0879,C-FAI-Client-05,FAI-Client-05,Finance and Insurance,Political Risk Management,2021-05-03,2021-07-03,2021-07-03,Completed,Medium,6,2,4,82100.0,82100.0,0.0,0.0,4.3,Yes,Repeat Client
P1084,C-PS-Client-06,PS-Client-06,Public Sector,Digital Transformation,2021-05-03,2021-07-03,2021-07-07,Completed,Low,3,1,2,20500.0,21500.0,4.0,0.049,4.4,No,Referral
P0642,C-E-Client-09,E-Client-09,Energy,Data Visualization & Analytics,2021-05-04,2021-07-04,2021-07-06,Completed,Medium,6,1,5,65700.0,68100.0,2.0,0.037,4.2,Yes,Repeat Client
P0641,C-E-Client-09,E-Client-09,Energy,Stakeholder Engagement,2021-05-06,2021-12-06,2022-01-24,Completed,High,14,5,9,843900.0,991600.0,49.0,0.175,3.3,Yes,Repeat Client
P0639,C-E-Client-04,E-Client-04,Energy,Data Visualization & Analytics,2021-05-06,2021-09-06,2021-09-06,Completed,High,7,2,5,188300.0,188300.0,0.0,0.0,4.2,No,Competitive Tender
P1228,C-CEAT-Client-08,CEAT-Client-08,Creative Economy and Tourism,Market & Social Research,2021-05-07,2021-07-07,2021-07-10,Completed,Medium,6,2,4,49200.0,50600.0,3.0,0.029,4.1,Yes,Referral
P0021,C-A-Client-07,A-Client-07,Agriculture,Stakeholder Engagement,2021-05-08,2021-09-08,2021-09-08,Completed,Medium,8,4,4,130000.0,130000.0,0.0,0.0,4.4,Yes,Referral
P0017,C-A-Client-01,A-Client-01,Agriculture,Data Visualization & Analytics,2021-05-11,2021-06-11,2021-06-12,Completed,Low,2,1,1,7600.0,7900.0,1.0,0.036,4.3,No,Competitive Tender
P1085,C-PS-Client-04,PS-Client-04,Public Sector,Stakeholder Engagement,2021-05-13,2021-07-13,2021-07-13,Completed,Low,4,1,3,29500.0,29500.0,0.0,0.0,4.3,No,Repeat Client
P0018,C-A-Client-04,A-Client-04,Agriculture,Stakeholder Engagement,2021-05-13,2021-07-13,,Cancelled,Low,2,1,1,15100.0,17400.0,,,,N/A,Referral
P0878,C-FAI-Client-05,FAI-Client-05,Finance and Insurance,Market & Social Research,2021-05-13,2021-08-13,2021-08-14,Completed,Low,4,1,3,66200.0,66900.0,1.0,0.011,4.8,Yes,Repeat Client
P1080,C-PS-Client-04,PS-Client-04,Public Sector,Digital Transformation,2021-05-16,2021-07-16,2021-07-18,Completed,Low,2,1,1,12300.0,12600.0,2.0,0.021,4.3,No,Competitive Tender
P1229,C-CEAT-Client-02,CEAT-Client-02,Creative Economy and Tourism,Stakeholder Engagement,2021-05-16,2021-08-16,2021-08-16,Completed,Low,4,1,3,33900.0,33900.0,0.0,0.0,4.5,Yes,Referral
P1416,C-TAI-Client-02,TAI-Client-02,Technology and Innovation,Market & Social Research,2021-05-17,2021-06-17,2021-06-19,Completed,Low,4,2,2,14800.0,15700.0,2.0,0.064,4.0,Yes,Competitive Tender
P0020,C-A-Client-05,A-Client-05,Agriculture,Market & Social Research,2021-05-21,2021-10-21,2021-11-29,Completed,Medium,5,2,3,106900.0,124200.0,39.0,0.162,3.4,No,Referral
P0877,C-FAI-Client-03,FAI-Client-03,Finance and Insurance,Strategic Planning,2021-05-23,2021-11-23,2021-11-27,Completed,High,11,5,6,504200.0,518300.0,4.0,0.028,3.9,Yes,Repeat Client
P0019,C-A-Client-08,A-Client-08,Agriculture,Political Risk Management,2021-05-23,2021-07-23,2021-07-26,Completed,Low,2,1,1,14200.0,14700.0,3.0,0.036,4.3,No,Referral
P0247,C-CACM-Client-06,CACM-Client-06,Climate and Carbon Markets,Strategic Planning,2021-05-24,2022-02-24,2022-02-28,Completed,High,13,6,7,923900.0,933100.0,4.0,0.01,3.7,Yes,Direct Outreach
P1081,C-PS-Client-04,PS-Client-04,Public Sector,Strategic Planning,2021-05-26,2022-01-26,2022-01-29,Completed,High,11,3,8,453600.0,460000.0,3.0,0.014,4.5,Yes,Competitive Tender
P1082,C-PS-Client-03,PS-Client-03,Public Sector,Digital Transformation,2021-05-26,2021-08-26,2021-09-16,Completed,Medium,8,4,4,115200.0,131800.0,21.0,0.144,4.0,No,Repeat Client
P1086,C-PS-Client-09,PS-Client-09,Public Sector,Data Visualization & Analytics,2021-06-01,2021-08-01,2021-10-05,Completed,Medium,4,1,3,32500.0,45600.0,65.0,0.404,3.5,No,Repeat Client
P1418,C-TAI-Client-01,TAI-Client-01,Technology and Innovation,Political Risk Management,2021-06-02,2021-12-02,2021-12-06,Completed,High,15,5,10,555700.0,568500.0,4.0,0.023,4.4,Yes,Competitive Tender
P0644,C-E-Client-04,E-Client-04,Energy,Data Visualization & Analytics,2021-06-07,2022-01-07,2022-04-06,Completed,High,8,2,6,480000.0,606200.0,89.0,0.263,1.8,No,Repeat Client
P0025,C-A-Client-05,A-Client-05,Agriculture,Stakeholder Engagement,2021-06-13,2021-11-13,2021-11-14,Completed,Medium,8,3,5,173600.0,174600.0,1.0,0.006,4.6,No,Competitive Tender
P0022,C-A-Client-03,A-Client-03,Agriculture,Stakeholder Engagement,2021-06-13,2021-12-13,2021-12-14,Completed,High,10,3,7,346500.0,348200.0,1.0,0.005,4.0,No,Direct Outreach
P1419,C-TAI-Client-06,TAI-Client-06,Technology and Innovation,Political Risk Management,2021-06-15,2021-11-15,2021-11-15,Completed,Medium,8,2,6,233900.0,233900.0,0.0,0.0,4.8,No,Repeat Client
P0023,C-A-Client-02,A-Client-02,Agriculture,Market & Social Research,2021-06-16,2021-10-16,2021-10-20,Completed,High,7,3,4,142800.0,146100.0,4.0,0.023,4.0,No,Repeat Client
P1417,C-TAI-Client-05,TAI-Client-05,Technology and Innovation,Stakeholder Engagement,2021-06-16,2022-03-16,2022-03-16,Completed,High,8,3,5,428300.0,428300.0,0.0,0.0,3.6,Yes,Repeat Client
P0643,C-E-Client-08,E-Client-08,Energy,Stakeholder Engagement,2021-06-18,2021-07-18,2021-07-22,Completed,Low,4,2,2,20500.0,23400.0,4.0,0.141,4.8,No,Repeat Client
P0027,C-A-Client-02,A-Client-02,Agriculture,Data Visualization & Analytics,2021-06-18,2021-10-18,2021-12-09,Completed,Medium,6,2,4,101500.0,131500.0,52.0,0.296,2.8,No,Repeat Client
P1088,C-PS-Client-07,PS-Client-07,Public Sector,Stakeholder Engagement,2021-06-20,2021-09-20,2021-09-21,Completed,Medium,7,3,4,98700.0,99600.0,1.0,0.009,4.1,Yes,Competitive Tender
P0024,C-A-Client-02,A-Client-02,Agriculture,Political Risk Management,2021-06-21,2021-09-21,2021-09-25,Completed,Medium,7,3,4,91100.0,95700.0,4.0,0.05,4.1,No,Repeat Client
P1230,C-CEAT-Client-07,CEAT-Client-07,Creative Economy and Tourism,Strategic Planning,2021-06-21,2021-10-21,2021-10-24,Completed,Medium,4,1,3,59100.0,60800.0,3.0,0.028,4.4,Yes,Competitive Tender
P0881,C-FAI-Client-08,FAI-Client-08,Finance and Insurance,Data Visualization & Analytics,2021-06-22,2021-11-22,2022-01-08,Completed,High,12,5,7,445200.0,531100.0,47.0,0.193,3.0,Yes,Referral
P0880,C-FAI-Client-06,FAI-Client-06,Finance and Insurance,Political Risk Management,2021-06-24,2022-02-24,2022-02-27,Completed,High,15,5,10,1024500.0,1034700.0,3.0,0.01,3.9,No,Repeat Client
